project_name,seq_num,template,charge_constant_current_1,charge_percent_limit_1,charge_constant_current_2,charge_cutoff_voltage,charge_constant_voltage_time,charge_rest_time,discharge_constant_current,discharge_cutoff_voltage,discharge_rest_time,cell_temperature_nominal,cell_type,capacity_nominal,diagnostic_type,diagnostic_parameter_set,diagnostic_start_cycle,diagnostic_interval
PreDiag,100,diagnosticV2.000,2,30,1,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,101,diagnosticV2.000,2,30,1,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,102,diagnosticV2.000,2,30,1,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,103,diagnosticV2.000,2,30,1,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,104,diagnosticV2.000,2,30,0.5,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,105,diagnosticV2.000,2,30,0.5,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,106,diagnosticV2.000,2,30,0.5,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,107,diagnosticV2.000,2,30,0.5,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,108,diagnosticV2.000,2,30,0.5,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,109,diagnosticV2.000,2,30,0.5,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,110,diagnosticV2.000,2,30,0.5,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,111,diagnosticV2.000,2,30,0.5,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,112,diagnosticV2.000,2,30,0.5,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,113,diagnosticV2.000,2,30,0.5,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,114,diagnosticV2.000,2,30,0.5,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,115,diagnosticV2.000,2,30,0.5,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,116,diagnosticV2.000,2,30,0.2,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,117,diagnosticV2.000,2,30,0.2,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,118,diagnosticV2.000,2,30,0.2,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,119,diagnosticV2.000,2,30,0.2,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,120,diagnosticV2.000,2,30,0.2,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,121,diagnosticV2.000,2,30,0.2,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,122,diagnosticV2.000,2,30,0.2,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,123,diagnosticV2.000,2,30,0.2,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,124,diagnosticV2.000,2,30,0.2,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,125,diagnosticV2.000,2,30,0.2,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,126,diagnosticV2.000,2,30,0.2,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,127,diagnosticV2.000,2,30,0.2,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,128,diagnosticV2.000,1,30,1,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,129,diagnosticV2.000,1,30,1,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,130,diagnosticV2.000,1,30,1,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,131,diagnosticV2.000,1,30,1,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,132,diagnosticV2.000,1,30,1,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,133,diagnosticV2.000,1,30,1,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,134,diagnosticV2.000,1,30,1,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,135,diagnosticV2.000,1,30,1,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,136,diagnosticV2.000,1,30,0.5,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,137,diagnosticV2.000,1,30,0.5,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,138,diagnosticV2.000,1,30,0.5,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,139,diagnosticV2.000,1,30,0.5,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,140,diagnosticV2.000,1,30,0.5,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,141,diagnosticV2.000,1,30,0.5,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,142,diagnosticV2.000,1,30,0.5,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,143,diagnosticV2.000,1,30,0.5,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,144,diagnosticV2.000,1,30,0.5,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,145,diagnosticV2.000,1,30,0.5,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,146,diagnosticV2.000,1,30,0.5,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,147,diagnosticV2.000,1,30,0.5,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,148,diagnosticV2.000,1,30,0.2,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,149,diagnosticV2.000,1,30,0.2,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,150,diagnosticV2.000,1,30,0.2,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,151,diagnosticV2.000,1,30,0.2,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,152,diagnosticV2.000,1,30,0.2,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,153,diagnosticV2.000,1,30,0.2,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,154,diagnosticV2.000,1,30,0.2,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,155,diagnosticV2.000,1,30,0.2,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,156,diagnosticV2.000,1,30,0.2,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,157,diagnosticV2.000,1,30,0.2,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,158,diagnosticV2.000,1,30,0.2,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,159,diagnosticV2.000,1,30,0.2,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,160,diagnosticV2.000,0.5,30,1,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,161,diagnosticV2.000,0.5,30,1,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,162,diagnosticV2.000,0.5,30,1,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,163,diagnosticV2.000,0.5,30,1,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,164,diagnosticV2.000,0.5,30,1,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,165,diagnosticV2.000,0.5,30,1,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,166,diagnosticV2.000,0.5,30,1,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,167,diagnosticV2.000,0.5,30,1,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,168,diagnosticV2.000,0.5,30,1,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,169,diagnosticV2.000,0.5,30,1,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,170,diagnosticV2.000,0.5,30,1,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,171,diagnosticV2.000,0.5,30,1,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,172,diagnosticV2.000,0.5,30,0.5,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,173,diagnosticV2.000,0.5,30,0.5,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,174,diagnosticV2.000,0.5,30,0.5,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,175,diagnosticV2.000,0.5,30,0.5,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,176,diagnosticV2.000,0.5,30,0.5,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,177,diagnosticV2.000,0.5,30,0.5,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,178,diagnosticV2.000,0.5,30,0.5,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,179,diagnosticV2.000,0.5,30,0.5,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,180,diagnosticV2.000,0.5,30,0.5,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,181,diagnosticV2.000,0.5,30,0.5,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,182,diagnosticV2.000,0.5,30,0.5,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,183,diagnosticV2.000,0.5,30,0.5,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,184,diagnosticV2.000,0.5,30,0.2,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,185,diagnosticV2.000,0.5,30,0.2,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,186,diagnosticV2.000,0.5,30,0.2,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,187,diagnosticV2.000,0.5,30,0.2,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,188,diagnosticV2.000,0.5,30,0.2,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,189,diagnosticV2.000,0.5,30,0.2,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,190,diagnosticV2.000,0.5,30,0.2,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,191,diagnosticV2.000,0.5,30,0.2,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,192,diagnosticV2.000,0.5,30,0.2,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,193,diagnosticV2.000,0.5,30,0.2,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,194,diagnosticV2.000,0.5,30,0.2,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,195,diagnosticV2.000,0.5,30,0.2,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,196,diagnosticV3.000,0.2,30,0.2,3.7,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,197,diagnosticV3.000,0.2,30,0.2,3.7,30,5,0.2,3.5,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,198,diagnosticV3.000,0.2,30,0.2,3.7,30,5,0.2,3.3,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,199,diagnosticV3.000,0.2,30,0.2,3.7,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,200,diagnosticV3.000,0.2,30,0.2,3.7,30,5,1,3.5,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,201,diagnosticV3.000,0.2,30,0.2,3.3,30,5,1,3.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,202,diagnosticV3.000,0.2,30,0.2,3.7,30,5,2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,203,diagnosticV3.000,0.2,30,0.2,3.7,30,5,2,3.5,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,204,diagnosticV3.000,0.2,30,0.2,3.7,30,5,2,3.3,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,205,diagnosticV3.000,0.2,30,0.2,3.7,30,5,3,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,206,diagnosticV3.000,0.2,30,0.2,3.7,30,5,3,3.5,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,207,diagnosticV3.000,0.2,30,0.2,3.7,30,5,3,3.3,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PreDiag,208,diagnosticV3.000,0.5,30,0.5,3.7,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
